Team 1,Team 2,Map,Winner,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
EnVyUs,Astralis,inferno,EnVyUs,1.04,0,1.07,1.11,54.28,53.31,56.17,40,76.5,74.6,30.2,30.0
Astralis,EnVyUs,train,Astralis,0,1.04,1.11,1.07,53.13,51.77,40.91,52.33,71.2,74.8,32.5,27.9
Natus Vincere,FaZe,mirage,Natus Vincere,1.03,0,1.07,0.99,55.8,52.43,55.84,56.25,78.7,74.5,30.0,25.0
G2,EnVyUs,train,G2,0,1.04,1.01,1.07,48.8,51.77,47.14,52.33,70.7,74.8,28.2,27.9
EnVyUs,G2,cache,G2,1.04,0,1.07,1.01,55.14,51.22,52.98,50.74,77.3,74.7,31.0,27.1
Virtus.pro,NiP,overpass,NiP,1.03,1.09,1.06,1.16,50.98,52.36,44.16,45,72.8,73.8,28.1,28.8
NiP,Virtus.pro,cache,NiP,1.09,1.03,1.16,1.06,53.65,52.94,51.7,52.05,78.0,76.4,27.4,27.7
NiP,FaZe,train,NiP,1.09,0,1.16,0.99,55.01,44.77,50,35.71,78.4,62.7,28.5,23.0
FaZe,NiP,dust2,NiP,0,1.09,0.99,1.16,43.9,54.93,57.14,53.79,72.8,78.7,20.3,28.4
Astralis,mousesports,dust2,Astralis,0,1.01,1.11,1.04,56.2,51.93,70,53.44,81.8,75.0,30.5,28.2
mousesports,Astralis,mirage,Astralis,1.01,0,1.04,1.11,52.81,61.04,54.17,43.75,76.2,82.4,29.5,33.7
E-frag.net,EnVyUs,cache,E-frag.net,0,1.04,1.09,1.07,56.77,55.14,61.03,52.98,76.5,77.3,33.6,31.0
Tempo Storm,Astralis,cache,Astralis,0,0,1.12,1.11,50.69,47.14,55.26,45.83,73.0,67.8,27.3,29.3
FaZe,Virtus.pro,mirage,Virtus.pro,0,1.03,0.99,1.06,52.43,56.25,56.25,55.33,74.5,78.0,25.0,31.5
