Team 1,Team 2,Map,Winner,Team 1 rank,Team 2 rank,Team 1 Rating,Team 2 Rating,Team 1 KD,Team 2 KD,Team 1 Map Win %,Team 2 Map Win %,Team 1 Pistol Round Win %,Team 2 Pistol Round Win %,Team 1 first kill win %,Team 2 first kill win %,Team 1 first death win %,Team 2 first death win %
dignitas,Astralis,mirage,Astralis,8,4,1.024,1.06,1.05,1.11,55.47,61.04,56.59,43.75,77.4,82.4,30.2,33.7
EnVyUs,fnatic,train,fnatic,6,3,1.072,1.084,1.07,1.12,51.77,54.99,52.33,49.17,74.8,76.8,27.9,32.3
G2,Astralis,dust2,G2,13,4,1.056,1.06,1.01,1.11,51.65,56.2,46.74,70,74.1,81.8,25.8,30.5
Astralis,EnVyUs,mirage,Astralis,4,6,1.06,1.072,1.11,1.07,61.04,53.31,43.75,53.06,82.4,72.3,33.7,33.8
dignitas,fnatic,cobblestone,fnatic,8,3,1.024,1.084,1.05,1.12,52.12,58.49,57.35,57.02,76.4,78.9,27.2,36.4
fnatic,EnVyUs,cobblestone,fnatic,3,6,1.084,1.072,1.12,1.07,58.49,55.41,57.02,61.61,78.9,76.1,36.4,33.3
G2,Astralis,dust2,Astralis,13,4,1.056,1.06,1.01,1.11,51.65,56.2,46.74,70,74.1,81.8,25.8,30.5
fnatic,EnVyUs,train,EnVyUs,3,6,1.084,1.072,1.12,1.07,54.99,51.77,49.17,52.33,76.8,74.8,32.3,27.9
dignitas,NiP,mirage,NiP,8,5,1.024,1.114,1.05,1.16,55.47,51.24,56.59,52.05,77.4,74.8,30.2,27.8
NiP,dignitas,train,NiP,5,8,1.114,1.024,1.16,1.05,55.01,49.14,50,50,78.4,74.0,28.5,27.1
Natus Vincere,Virtus.pro,dust2,Natus Vincere,1,7,1.044,1.046,1.07,1.06,53.37,49.14,50.81,56.52,76.1,72.5,27.0,26.2
EnVyUs,fnatic,cache,EnVyUs,6,3,1.072,1.084,1.07,1.12,55.14,56.46,52.98,55.19,77.3,77.3,31.0,32.7
fnatic,EnVyUs,inferno,fnatic,3,6,1.084,1.072,1.12,1.07,56.7,54.28,51.78,56.17,79.3,76.5,32.3,30.2
Virtus.pro,dignitas,overpass,dignitas,7,8,1.046,1.024,1.06,1.05,50.98,52.87,44.16,54.03,72.8,76.5,28.1,29.8
dignitas,Virtus.pro,mirage,dignitas,8,7,1.024,1.046,1.05,1.06,55.47,56.25,56.59,55.33,77.4,78.0,30.2,31.5
fnatic,G2,inferno,fnatic,3,13,1.084,1.056,1.12,1.01,56.7,51.34,51.78,62.9,79.3,74.1,32.3,27.3
G2,fnatic,cobblestone,fnatic,13,3,1.056,1.084,1.01,1.12,44,58.49,38.89,57.02,67.2,78.9,22.1,36.4
Luminosity,Liquid,cobblestone,Luminosity,2,10,1.106,1.064,1.14,1.08,56.27,53.23,48.72,50,79.9,73.4,29.4,29.6
Liquid,Luminosity,overpass,Luminosity,10,2,1.064,1.106,1.08,1.14,55.43,54.77,53.41,55.71,76.2,76.6,30.6,30.7
Cloud9,CLG,overpass,Cloud9,16,11,1.026,1.04,1.06,1.05,54.03,52.49,53.03,46.05,75.8,77.3,29.2,26.4
CLG,Cloud9,cobblestone,Cloud9,11,16,1.04,1.026,1.05,1.06,52.59,55.92,53.7,55.26,73.3,78.0,28.0,30.4
fnatic,Virtus.pro,overpass,fnatic,3,7,1.084,1.046,1.12,1.06,56.88,50.98,58.89,44.16,77.1,72.8,33.8,28.1
Virtus.pro,fnatic,dust2,fnatic,7,3,1.046,1.084,1.06,1.12,49.14,53.14,56.52,51.44,72.5,75.2,26.2,29.6
Virtus.pro,FaZe,mirage,FaZe,7,18,1.046,1.046,1.06,0.99,56.25,52.43,55.33,56.25,78.0,74.5,31.5,25.0
FaZe,Virtus.pro,train,FaZe,18,7,1.046,1.046,0.99,1.06,44.77,54.51,35.71,51.28,62.7,77.4,23.0,30.5
Astralis,G2,cache,G2,4,13,1.06,1.056,1.11,1.01,48.6,51.22,42.31,50.74,69.5,74.7,30.0,27.1
G2,Astralis,inferno,Astralis,13,4,1.056,1.06,1.01,1.11,51.34,55.84,62.9,45.45,74.1,76.5,27.3,31.2
Natus Vincere,Astralis,mirage,Astralis,1,4,1.044,1.06,1.07,1.11,55.8,61.04,55.84,43.75,78.7,82.4,30.0,33.7
HellRaisers,mousesports,cache,mousesports,17,9,1.056,1.074,1.03,1.04,53.35,55.22,54.76,54.12,75.0,76.8,30.1,32.1
Astralis,mousesports,mirage,Astralis,4,9,1.06,1.074,1.11,1.04,61.04,52.81,43.75,54.17,82.4,76.2,33.7,29.5
dignitas,Astralis,overpass,Astralis,8,4,1.024,1.06,1.05,1.11,52.87,58.29,54.03,63.33,76.5,76.7,29.8,35.7
mousesports,Virtus.pro,dust2,mousesports,9,7,1.074,1.046,1.04,1.06,51.93,49.14,53.44,56.52,75.0,72.5,28.2,26.2
FaZe,Luminosity,inferno,FaZe,18,2,1.046,1.106,0.99,1.14,59.14,57.5,62.5,57.35,77.4,78.7,36.9,30.8
fnatic,NiP,dust2,fnatic,3,5,1.084,1.114,1.12,1.16,53.14,54.93,51.44,53.79,75.2,78.7,29.6,28.4
Luminosity,fnatic,dust2,fnatic,2,3,1.106,1.084,1.14,1.12,54.33,53.14,43.48,51.44,78.0,75.2,28.1,29.6
NiP,EnVyUs,mirage,NiP,5,6,1.114,1.072,1.16,1.07,51.24,53.31,52.05,53.06,74.8,72.3,27.8,33.8
Cloud9,Luminosity,inferno,Luminosity,16,2,1.026,1.106,1.06,1.14,47.28,57.5,36.46,57.35,70.8,78.7,24.4,30.8
EnVyUs,mousesports,cache,EnVyUs,6,9,1.072,1.074,1.07,1.04,55.14,55.22,52.98,54.12,77.3,76.8,31.0,32.1
mousesports,HellRaisers,train,HellRaisers,9,17,1.074,1.056,1.04,1.03,46.6,50.89,44.19,46.55,70.6,75.7,24.2,23.9
Natus Vincere,HellRaisers,cobblestone,Natus Vincere,1,17,1.044,1.056,1.07,1.03,52.21,51.84,52.11,52.59,73.5,71.4,29.5,32.0
EnVyUs,fnatic,inferno,fnatic,6,3,1.072,1.084,1.07,1.12,54.28,56.7,56.17,51.78,76.5,79.3,30.2,32.3
Virtus.pro,NiP,overpass,NiP,7,5,1.046,1.114,1.06,1.16,50.98,52.36,44.16,45,72.8,73.8,28.1,28.8
Virtus.pro,dignitas,cobblestone,dignitas,7,8,1.046,1.024,1.06,1.05,51.82,52.12,50.81,57.35,73.8,76.4,29.8,27.2
Virtus.pro,mousesports,dust2,Virtus.pro,7,9,1.046,1.074,1.06,1.04,49.14,51.93,56.52,53.44,72.5,75.0,26.2,28.2
HellRaisers,Virtus.pro,cache,Virtus.pro,17,7,1.056,1.046,1.03,1.06,53.35,52.79,54.76,52.44,75.0,76.3,30.1,27.6
Virtus.pro,HellRaisers,overpass,Virtus.pro,7,17,1.046,1.056,1.06,1.03,50.98,50.73,44.16,44.15,72.8,73.4,28.1,27.0
Virtus.pro,NiP,cobblestone,Virtus.pro,7,5,1.046,1.114,1.06,1.16,51.82,51.71,50.81,50,73.8,72.1,29.8,28.6
Liquid,Cloud9,cache,Liquid,10,16,1.064,1.026,1.08,1.06,55.59,53.48,52.03,58.78,74.8,76.4,34.0,28.8
fnatic,Virtus.pro,train,fnatic,3,7,1.084,1.046,1.12,1.06,54.99,54.51,49.17,51.28,76.8,77.4,32.3,30.5
Virtus.pro,G2,cache,G2,7,13,1.046,1.056,1.06,1.01,52.79,51.22,52.44,50.74,76.3,74.7,27.6,27.1
fnatic,NiP,train,NiP,3,5,1.084,1.114,1.12,1.16,54.99,55.01,49.17,50,76.8,78.4,32.3,28.5
Virtus.pro,EnVyUs,cache,Virtus.pro,7,6,1.046,1.072,1.06,1.07,52.79,55.14,52.44,52.98,76.3,77.3,27.6,31.0
NiP,Virtus.pro,mirage,NiP,5,7,1.114,1.046,1.16,1.06,51.24,56.25,52.05,55.33,74.8,78.0,27.8,31.5
G2,Virtus.pro,train,G2,13,7,1.056,1.046,1.01,1.06,48.8,54.51,47.14,51.28,70.7,77.4,28.2,30.5
